,adjmou,adjqty,adjrev,avg3mou,avg3qty,avg6mou,avg6qty,avgmou,avgqty,avgrev,change_mou,change_rev,eqpdays,months,mou_Mean,mou_cvce_Mean,mou_opkv_Mean,rev_Mean,totcalls,totmou,totrev,churn
32472,26271.0,4173,1898.17,1269,145,1274.0,166.0,820.97,130.41,59.32,-267.75,-3.225,292.0,34,1179.75,952.3366667,564.88,53.215,4223,26570.0,1978.17,0
37059,6416.0,1820,646.27,499,161,443.0,139.0,493.54,140.0,49.71,-198.0,-18.6175,176.0,14,433.0,241.5533333,138.7833333,57.6075,1820,6416.0,710.25,1
13328,6480.0,2213,916.28,698,212,643.0,209.0,648.0,221.3,91.63,774.25,97.565,30.0,11,955.75,411.8333333,293.77,116.855,2215,6482.0,1006.16,0
33982,13168.0,4109,1271.73,1255,246,931.0,237.0,411.5,128.41,39.74,303.25,15.5925,132.0,34,1355.75,626.1933333,835.9333333,45.9875,4124,13194.0,1284.46,0
17534,10187.0,6413,2258.77,192,92,176.0,83.0,254.68,160.33,56.47,-144.0,0.0,165.0,42,144.0,0.0,0.0,53.24,6691,10810.0,2395.8,1
25304,9358.0,3655,1080.96,294,118,352.0,134.0,519.89,203.06,60.05,2.75,-37.0925,576.0,19,295.25,121.5,66.42333333,35.0725,3682,9425.0,1135.95,0
7258,8771.0,3618,925.89,390,148,489.0,152.0,365.46,150.75,38.58,-84.0,-6.5,407.0,27,362.0,107.66,92.97333333,41.49,3625,8780.0,958.79,1
15455,12728.0,4469,1087.71,896,290,805.0,282.0,578.55,203.14,49.44,-105.0,-2.475,661.0,23,861.0,472.67333330000014,277.3333333,59.065,4470,12733.0,1119.71,0
29356,7869.0,2386,777.25,989,282,893.0,271.0,874.33,265.11,86.36,-487.0,-11.145,227.0,11,827.0,305.3233333,331.27,86.135,2519,8438.0,931.53,1
26310,7059.0,2893,1031.55,1,1,176.0,70.0,371.53,152.26,54.29,-0.75,50.56,612.0,20,0.75,0.0,0.0,41.11,2908,7084.0,1074.12,1
12077,6795.0,3818,911.88,333,175,337.0,174.0,424.69,238.63,56.99,26.75,-1.3375,314.0,17,342.25,113.9,84.57333333,42.9275,3826,6804.0,1021.71,1
29664,32105.0,21301,2264.58,1094,689,935.0,605.0,697.93,463.07,49.23,149.25,0.9275,236.0,47,1143.75,278.0933333,291.73,63.6225,21419,32269.0,2316.51,1
39682,7603.0,2902,1147.33,358,152,502.0,195.0,292.42,111.62,44.13,-28.0,0.0,372.0,27,349.0,179.2833333,98.99,32.49,2912,7620.0,1186.32,0
13696,27045.0,9710,2297.04,761,300,556.0,238.0,819.55,294.24,69.61,116.0,11.395,401.0,37,800.0,378.4233333,134.6566667,68.175,9863,27417.0,2356.24,1
35341,19715.0,5548,1588.63,1714,473,1641.0,432.0,1232.19,346.75,99.29,-148.25,-19.0825,246.0,17,1664.25,1005.843333,1078.863333,86.5925,5554,19727.0,1648.61,0
19512,37767.0,16089,4134.83,1807,649,1451.0,526.0,1144.45,487.55,125.3,241.75,51.6525,507.0,36,1887.25,699.4466667,406.3333333,200.6975,16425,38712.0,4355.49,0
2602,10065.0,4654,1414.63,564,203,489.0,193.0,559.17,258.56,78.59,329.5,1.26,35.0,19,673.5,295.0633333,192.3366667,80.04,4691,10131.0,1491.4,0
33653,11896.0,2655,1515.87,366,107,268.0,88.0,313.05,69.87,39.89,-139.0,-7.4425,1198.0,40,320.0,308.08,95.69,17.4425,2687,12154.0,1615.87,0
5016,6498.0,2152,1496.83,205,77,243.0,92.0,309.43,102.48,71.28,-57.75,-0.1925,510.0,22,185.75,129.51,53.34,52.5025,2152,6498.0,1501.67,0
39430,23545.0,11540,2356.88,2222,1044,1749.0,845.0,1385.0,678.82,138.64,562.5,62.885,4.0,19,2409.5,460.88333330000006,526.44,230.885,11614,23707.0,2390.64,0
8657,12242.0,2181,1012.47,428,53,368.0,63.0,612.1,109.05,50.62,-281.25,0.0,626.0,21,334.25,410.27,316.0266667,49.99,2199,12307.0,1098.91,1
26503,8228.0,2050,432.46,1471,320,1371.0,342.0,1371.33,341.67,72.08,11.75,13.1025,209.0,7,1475.25,601.38,740.4133333,54.4875,2054,8232.0,503.07,0
2569,14756.0,1698,524.26,1322,146,1278.0,154.0,1229.67,141.5,43.69,-439.5,-0.6175,387.0,13,1175.5,864.9166667000003,710.83,41.5975,1702,14761.0,589.87,0
20499,13683.0,1486,650.34,2423,261,2281.0,248.0,2280.5,247.67,108.39,174.0,-16.2575,215.0,8,2481.0,2433.913333,1803.656667,96.2475,1486,13683.0,836.21,1
16714,33597.0,16099,2359.33,2386,1062,2359.0,1134.0,2099.81,1006.19,147.46,-207.0,-49.0425,169.0,17,2317.0,622.66,476.67,136.6825,16178,33741.0,2477.12,0
11960,6825.0,1331,445.21,310,118,293.0,112.0,620.45,121.0,40.47,-49.0,4.6025,364.0,12,294.0,147.1,165.9966667,30.3875,1338,6873.0,510.82,1
37602,8329.0,3076,1089.89,885,385,842.0,338.0,832.9,307.6,108.99,145.75,40.9575,309.0,11,933.25,307.49,246.1033333,153.4225,3079,8334.0,1160.5,1
37135,14778.0,2847,1006.42,1703,331,1658.0,350.0,1477.8,284.7,100.64,606.75,117.2175,37.0,11,1905.25,927.1566667,766.76,166.8625,2853,14799.0,1087.3,1
16533,7563.0,2162,577.99,779,211,742.0,214.0,756.3,216.2,57.8,-42.25,-4.375,104.0,11,765.25,0.0,0.0,68.265,2162,7563.0,643.6,0
13564,16074.0,7032,1492.59,1017,550,903.0,490.0,1004.63,439.5,93.29,-317.0,-51.99,499.0,17,911.0,439.26333330000006,627.8766667,81.99,7032,16074.0,1552.58,1
